Date,Open,High,Low,Close,Adj Close,Volume
1973-02-22,1.656250,1.656250,1.656250,1.656250,1.656250,92800
1973-02-23,1.703125,1.703125,1.703125,1.703125,1.703125,400000
1973-02-26,1.671875,1.671875,1.671875,1.671875,1.671875,187200
1973-02-27,1.546875,1.546875,1.546875,1.546875,1.546875,657600
1973-02-28,1.656250,1.656250,1.656250,1.656250,1.656250,235200
1973-03-01,1.679688,1.679688,1.679688,1.679688,1.679688,235200
1973-03-02,1.695313,1.695313,1.695313,1.695313,1.695313,128000
1973-03-05,1.656250,1.656250,1.656250,1.656250,1.656250,244800
1973-03-06,1.664063,1.664063,1.664063,1.664063,1.664063,235200
1973-03-07,1.695313,1.695313,1.695313,1.695313,1.695313,478400
1973-03-08,1.750000,1.750000,1.750000,1.750000,1.750000,299200
1973-03-09,1.718750,1.718750,1.718750,1.718750,1.718750,726400
1973-03-12,1.773438,1.773438,1.773438,1.773438,1.773438,166400
1973-03-13,1.765625,1.765625,1.765625,1.765625,1.765625,115200
1973-03-14,1.750000,1.750000,1.750000,1.750000,1.750000,36800
1973-03-15,1.765625,1.765625,1.765625,1.765625,1.765625,80000
1973-03-16,1.789063,1.789063,1.789063,1.789063,1.789063,86400
1973-03-19,1.765625,1.765625,1.765625,1.765625,1.765625,67200
1973-03-20,1.796875,1.796875,1.796875,1.796875,1.796875,72000
1973-03-21,1.757813,1.757813,1.757813,1.757813,1.757813,62400
1973-03-22,1.687500,1.687500,1.687500,1.687500,1.687500,516800
1973-03-23,1.687500,1.687500,1.687500,1.687500,1.687500,89600
1973-03-26,1.679688,1.679688,1.679688,1.679688,1.679688,75200
1973-03-27,1.710938,1.710938,1.710938,1.710938,1.710938,168000
1973-03-28,1.734375,1.734375,1.734375,1.734375,1.734375,148800
1973-03-29,1.750000,1.750000,1.750000,1.750000,1.750000,217600
1973-03-30,1.765625,1.765625,1.765625,1.765625,1.765625,222400
1973-04-02,1.742188,1.742188,1.742188,1.742188,1.742188,193600
1973-04-03,1.687500,1.687500,1.687500,1.687500,1.687500,307200
1973-04-04,1.695313,1.695313,1.695313,1.695313,1.695313,112000
1973-04-05,1.632813,1.632813,1.632813,1.632813,1.632813,507200
1973-04-06,1.718750,1.718750,1.718750,1.718750,1.718750,336000
1973-04-09,1.718750,1.718750,1.718750,1.718750,1.718750,121600
1973-04-10,1.750000,1.750000,1.750000,1.750000,1.750000,145600
1973-04-11,1.789063,1.789063,1.789063,1.789063,1.789063,94400
1973-04-12,1.781250,1.781250,1.781250,1.781250,1.781250,91200
1973-04-13,1.796875,1.796875,1.796875,1.796875,1.796875,49600
1973-04-16,1.804688,1.804688,1.804688,1.804688,1.804688,137600
1973-04-17,1.789063,1.789063,1.789063,1.789063,1.789063,220800
1973-04-18,1.742188,1.742188,1.742188,1.742188,1.742188,691200
1973-04-19,1.679688,1.679688,1.679688,1.679688,1.679688,360000
1973-04-23,1.609375,1.609375,1.609375,1.609375,1.609375,176000
1973-04-24,1.531250,1.531250,1.531250,1.531250,1.531250,2009600
1973-04-25,1.515625,1.515625,1.515625,1.515625,1.515625,208000
1973-04-26,1.562500,1.562500,1.562500,1.562500,1.562500,220800
1973-04-27,1.593750,1.593750,1.593750,1.593750,1.593750,403200
1973-04-30,1.585938,1.585938,1.585938,1.585938,1.585938,84800
1973-05-01,1.656250,1.656250,1.656250,1.656250,1.656250,155200
1973-05-02,1.656250,1.656250,1.656250,1.656250,1.656250,166400
1973-05-03,0.000000,1.710938,1.632813,1.710938,1.710938,476800
1973-05-04,0.000000,1.710938,1.671875,1.710938,1.710938,108800
1973-05-07,0.000000,1.750000,1.703125,1.750000,1.750000,406400
1973-05-08,0.000000,1.757813,1.710938,1.750000,1.750000,128000
1973-05-09,0.000000,1.781250,1.742188,1.750000,1.750000,134400
1973-05-10,0.000000,1.750000,1.742188,1.750000,1.750000,123200
1973-05-11,0.000000,1.750000,1.734375,1.734375,1.734375,134400
1973-05-14,0.000000,1.718750,1.679688,1.679688,1.679688,121600
1973-05-15,0.000000,1.656250,1.632813,1.632813,1.632813,278400
1973-05-16,0.000000,1.640625,1.625000,1.625000,1.625000,68800
1973-05-17,0.000000,1.625000,1.601563,1.609375,1.609375,195200
1973-05-18,0.000000,1.609375,1.562500,1.578125,1.578125,430400
1973-05-21,0.000000,1.562500,1.539063,1.546875,1.546875,107200
1973-05-22,0.000000,1.562500,1.546875,1.562500,1.562500,92800
1973-05-23,0.000000,1.625000,1.578125,1.585938,1.585938,104000
1973-05-24,0.000000,1.625000,1.578125,1.625000,1.625000,44800
1973-05-25,0.000000,1.703125,1.664063,1.703125,1.703125,128000
1973-05-29,0.000000,1.687500,1.656250,1.671875,1.671875,91200
1973-05-30,0.000000,1.656250,1.593750,1.593750,1.593750,180800
1973-05-31,0.000000,1.593750,1.562500,1.570313,1.570313,249600
1973-06-01,0.000000,1.585938,1.570313,1.570313,1.570313,49600
1973-06-04,0.000000,1.562500,1.531250,1.562500,1.562500,340800
1973-06-05,0.000000,1.554688,1.515625,1.515625,1.515625,163200
1973-06-06,0.000000,1.523438,1.476563,1.484375,1.484375,196800
1973-06-07,0.000000,1.492188,1.437500,1.468750,1.468750,139200
1973-06-08,0.000000,1.476563,1.375000,1.414063,1.414063,448000
1973-06-11,0.000000,1.398438,1.375000,1.398438,1.398438,190400
1973-06-12,0.000000,1.539063,1.382813,1.500000,1.500000,1320000
1973-06-13,0.000000,1.562500,1.500000,1.500000,1.500000,184000
1973-06-14,0.000000,1.484375,1.421875,1.429688,1.429688,404800
1973-06-15,0.000000,1.421875,1.390625,1.390625,1.390625,67200
1973-06-18,0.000000,1.398438,1.375000,1.382813,1.382813,75200
1973-06-19,0.000000,1.406250,1.375000,1.406250,1.406250,249600
1973-06-20,0.000000,1.421875,1.343750,1.343750,1.343750,102400
1973-06-21,0.000000,1.320313,1.250000,1.257813,1.257813,270400
1973-06-22,0.000000,1.289063,1.187500,1.187500,1.187500,230400
1973-06-25,0.000000,1.218750,1.195313,1.195313,1.195313,248000
1973-06-26,0.000000,1.265625,1.187500,1.265625,1.265625,414400
1973-06-27,0.000000,1.304688,1.234375,1.250000,1.250000,225600
1973-06-28,0.000000,1.273438,1.234375,1.273438,1.273438,158400
1973-06-29,0.000000,1.335938,1.273438,1.335938,1.335938,305600
1973-07-02,0.000000,1.359375,1.320313,1.351563,1.351563,60800
1973-07-03,0.000000,1.382813,1.359375,1.359375,1.359375,433600
1973-07-05,0.000000,1.359375,1.335938,1.359375,1.359375,164800
1973-07-06,0.000000,1.359375,1.359375,1.359375,1.359375,62400
